Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Gender_Male,Department_CS,Department_Engineering,Department_Mathematics,Extracurricular_Activities_Yes,Internet_Access_at_Home_Yes,Parent_Education_Level_High School,Parent_Education_Level_Master's,Parent_Education_Level_PhD,Parent_Education_Level_Unknown,Family_Income_Level_Low,Family_Income_Level_Medium
0.6666666666666665,0.9471894378875776,0.010168361393565584,0.3268300817075205,0.47389477895579124,0.06341268253650734,0.7340000000000001,0.25680000000000014,0.20868969082592526,F,0.21200000000000002,0.0,0.3800000000000001,False,False,False,True,True,False,False,True,False,False,False,True
0.0,0.9541908381676336,0.28788131355225877,0.566783391695848,0.4846969393878777,0.9647929585917185,0.88,0.9646000000000001,0.7038739477854326,B,0.8840000000000001,0.3333333333333333,0.05999999999999994,True,False,False,False,False,False,True,False,False,False,True,False
1.0,0.9903980796159233,0.030671778629771662,0.3975320993830249,0.7171434286857372,0.0,0.04699999999999999,0.8244,0.3846975128963013,D,0.29600000000000004,0.8888888888888888,0.41999999999999993,True,False,True,False,True,False,True,False,False,False,True,False
1.0,0.8075615123024606,0.09418236372728794,0.07387026846756706,0.3620724144828966,0.3254650930186038,0.042,0.10959999999999992,0.023634790231402913,F,0.8200000000000001,0.7777777777777777,0.18000000000000005,False,False,True,False,False,True,True,False,False,False,True,False
0.833333333333333,0.18803760752150445,0.21886981163527264,0.36284809071202284,0.35327065413082614,0.6797359471894382,0.643,0.7486000000000002,0.46754852268512814,C,0.332,0.5555555555555556,0.09999999999999998,False,True,False,False,True,False,False,True,False,False,False,True
0.5,0.21184236847369498,0.5035839306551091,0.4080373520093381,0.7571514302860571,0.045209041808361716,0.5479999999999999,0.3530000000000002,0.3930815136155723,D,0.812,0.5555555555555556,0.31999999999999984,True,False,False,True,True,False,False,False,False,True,False,True
1.0,0.34006801360272076,0.8476412735455909,0.8959479739869933,0.7801560312062414,0.08341668333666741,0.155,0.7502000000000002,0.7250137672934063,B,0.6840000000000002,0.1111111111111111,0.0,True,False,False,False,True,False,False,False,False,False,False,False
0.16666666666666652,0.3180636127225447,0.8621436906151025,0.3244955811238953,0.014402880576115384,0.07661532306461294,0.5479999999999999,0.8008000000000002,0.4667730588116299,C,0.468,0.4444444444444445,0.76,True,False,True,False,True,True,False,False,False,True,True,False
0.5,0.956591318263653,0.6162693782297051,0.37918959479739867,0.14382876575315073,0.5817163432686538,0.9740000000000001,0.15139999999999998,0.34296856561660616,D,0.524,0.8888888888888888,0.15999999999999992,False,True,False,False,False,True,False,False,True,False,False,False
0.6666666666666665,0.7889577915583119,0.9283213868978164,0.7830581957645488,0.2130426085217043,0.8961792358471694,0.631,0.6618000000000002,0.7227210914934987,B,0.176,0.7777777777777777,0.6199999999999999,False,False,False,False,True,False,False,False,False,True,False,False
0.833333333333333,0.7239447889577917,0.5000833472245374,0.759212939803235,0.3516703340668135,0.5555111022204442,0.44900000000000007,0.8628,0.6604704480832553,C,0.11599999999999999,0.3333333333333333,0.8399999999999999,False,False,False,False,True,True,True,False,False,False,True,False
0.33333333333333304,0.18583716743348688,0.8891481913652277,0.7985659496414874,0.2914582916583317,0.6037207441488299,0.828,0.32340000000000013,0.6084244597039752,C,0.716,0.6666666666666665,0.9199999999999999,False,False,False,True,True,False,False,False,False,True,True,False
0.5,0.909581916383277,0.4540756792798799,0.9541437385359346,0.6687337467493502,0.34606921384276856,0.21300000000000002,0.08040000000000003,0.4564447791051822,C,0.8480000000000001,0.8888888888888888,0.56,True,False,True,False,False,False,False,False,False,True,False,True
0.0,0.8277655531106223,0.27721286881146867,0.7957311989327998,0.828365673134627,0.01880376075215051,0.414,0.027200000000000113,0.3620741972825048,D,0.72,0.4444444444444445,0.78,True,False,False,False,False,False,False,False,True,False,False,True
0.16666666666666652,0.1634326865373077,0.9164860810135025,0.4077038519259628,0.19203840768153646,0.021604320864172966,0.528,0.1100000000000001,0.29440654536463673,D,0.9120000000000001,0.1111111111111111,0.45999999999999996,True,True,False,False,False,True,False,False,False,False,False,False
0.0,0.8711742348469695,0.38806467744624107,0.8217442054360515,0.5631126225245051,0.8885777155431087,0.505,0.0041999999999999815,0.4487575720113737,C,0.8920000000000001,0.1111111111111111,0.5,True,True,False,False,True,False,False,False,False,False,True,False
0.5,0.2720544108821765,0.5034172362060345,0.5087543771885943,0.3678735747149431,0.10262052410482103,0.9209999999999999,0.32699999999999996,0.4009822542397643,D,0.78,0.7777777777777777,0.54,False,False,False,False,False,True,True,False,False,False,False,False
0.833333333333333,0.08061612322464495,0.3288881480246708,0.2776388194097048,0.5059011802360474,1.0000000000000002,0.29300000000000004,0.2994000000000001,0.33201092392587017,D,0.9000000000000001,0.7777777777777777,0.6800000000000002,False,True,False,False,False,False,False,False,False,False,False,True
0.33333333333333304,0.6567313462692541,0.6629438239706618,0.30298482574620644,0.6209241848369675,0.16443288657731547,0.056999999999999995,0.11040000000000005,0.2433720316029624,D,0.16799999999999998,0.7777777777777777,0.6599999999999999,True,False,False,False,True,True,True,False,False,False,False,False
0.33333333333333304,0.6537307461492299,0.9951658609768297,0.22377855594463902,0.8937787557511505,0.6747349469893982,0.9159999999999999,0.6512,0.6660785129075399,B,0.732,0.4444444444444445,0.78,True,True,False,False,False,True,False,True,False,False,True,False
0.0,0.09481896379275878,0.025504250708451415,0.14490578622644668,0.19223844768953802,0.9491898379675938,0.217,0.992,0.39231728834893587,D,0.752,0.1111111111111111,0.6199999999999999,True,False,False,False,False,False,False,False,True,False,False,False
0.6666666666666665,0.31866373274654936,0.8999833305550926,0.1844255461063865,0.08701740348069631,0.3622724544908982,0.379,0.901,0.48635071196574486,C,0.15200000000000002,1.0,0.8800000000000001,True,False,False,False,False,False,False,False,False,True,False,False
0.6666666666666665,0.9927985597119426,0.004000666777796313,0.06303151575787891,0.6273254650930187,0.7345469093818764,0.531,0.25280000000000014,0.19565290686566494,F,0.9080000000000001,0.7777777777777777,0.7,True,False,False,False,False,True,False,False,True,False,True,False
0.833333333333333,0.6783356671334269,0.3642273712285382,0.8887777221944306,0.3942788557711543,0.35087017403480725,0.976,0.77,0.6887804987693726,B,0.008000000000000007,0.3333333333333333,0.9199999999999999,False,True,False,False,True,True,False,False,False,False,True,False
0.33333333333333304,0.7299459891978397,0.16869478246374392,0.9312989828247458,0.16303260652130436,0.30506101220244064,0.535,0.9368000000000001,0.6261140269052248,C,0.436,0.8888888888888888,0.76,False,False,False,False,False,True,False,False,False,True,True,False
0.0,0.21284256851370276,0.7574595765960994,0.5869601467400365,0.11702340468093642,0.20184036807361494,0.44799999999999995,0.9063999999999999,0.5897796109194302,C,0.01999999999999999,1.0,0.74,True,False,False,True,False,False,False,False,True,False,False,True
