Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Gender_Male,Department_CS,Department_Engineering,Department_Mathematics,Extracurricular_Activities_Yes,Internet_Access_at_Home_Yes,Parent_Education_Level_High School,Parent_Education_Level_Master's,Parent_Education_Level_PhD,Parent_Education_Level_Unknown,Family_Income_Level_Low,Family_Income_Level_Medium,predicted_grade,recommendation
0.6666666666666665,0.9471894378875776,0.0101683613935655,0.3268300817075205,0.4738947789557912,0.0634126825365073,0.7340000000000001,0.2568000000000001,0.2086896908259252,0.212,0.0,0.3800000000000001,False,False,False,True,True,False,False,True,False,False,False,True,F,Jangan menyerah! Jadwalkan ulang belajar harian & fokus topik dasar 🚨
0.0,0.9541908381676336,0.2878813135522587,0.566783391695848,0.4846969393878777,0.9647929585917184,0.88,0.9646,0.7038739477854326,0.8840000000000001,0.3333333333333333,0.0599999999999999,True,False,False,False,False,False,True,False,False,False,True,False,B,Bagus! Tapi coba tingkatkan dengan latihan tambahan di topik lemah 📘
1.0,0.9903980796159232,0.0306717786297716,0.3975320993830249,0.7171434286857372,0.0,0.0469999999999999,0.8244,0.3846975128963013,0.296,0.8888888888888888,0.4199999999999999,True,False,True,False,True,False,True,False,False,False,True,False,D,Segera cari tutor atau diskusi bareng teman untuk topik sulit 🔍
1.0,0.8075615123024606,0.0941823637272879,0.073870268467567,0.3620724144828966,0.3254650930186038,0.042,0.1095999999999999,0.0236347902314029,0.8200000000000001,0.7777777777777777,0.18,False,False,True,False,False,True,True,False,False,False,True,False,F,Jangan menyerah! Jadwalkan ulang belajar harian & fokus topik dasar 🚨
0.833333333333333,0.1880376075215044,0.2188698116352726,0.3628480907120228,0.3532706541308261,0.6797359471894382,0.643,0.7486000000000002,0.4675485226851281,0.332,0.5555555555555556,0.0999999999999999,False,True,False,False,True,False,False,True,False,False,False,True,C,Perlu peningkatan. Perbanyak latihan & ikuti kelompok belajar 📚
0.5,0.2118423684736949,0.5035839306551091,0.4080373520093381,0.7571514302860571,0.0452090418083617,0.5479999999999999,0.3530000000000002,0.3930815136155723,0.812,0.5555555555555556,0.3199999999999998,True,False,False,True,True,False,False,False,False,True,False,True,D,Segera cari tutor atau diskusi bareng teman untuk topik sulit 🔍
1.0,0.3400680136027207,0.8476412735455909,0.8959479739869933,0.7801560312062414,0.0834166833366674,0.155,0.7502000000000002,0.7250137672934063,0.6840000000000002,0.1111111111111111,0.0,True,False,False,False,True,False,False,False,False,False,False,False,B,Bagus! Tapi coba tingkatkan dengan latihan tambahan di topik lemah 📘
0.1666666666666665,0.3180636127225447,0.8621436906151025,0.3244955811238953,0.0144028805761153,0.0766153230646129,0.5479999999999999,0.8008000000000002,0.4667730588116299,0.468,0.4444444444444445,0.76,True,False,True,False,True,True,False,False,False,True,True,False,C,Perlu peningkatan. Perbanyak latihan & ikuti kelompok belajar 📚
0.5,0.956591318263653,0.6162693782297051,0.3791895947973986,0.1438287657531507,0.5817163432686538,0.974,0.1513999999999999,0.3429685656166061,0.524,0.8888888888888888,0.1599999999999999,False,True,False,False,False,True,False,False,True,False,False,False,D,Segera cari tutor atau diskusi bareng teman untuk topik sulit 🔍
0.6666666666666665,0.7889577915583119,0.9283213868978164,0.7830581957645488,0.2130426085217043,0.8961792358471694,0.631,0.6618000000000002,0.7227210914934987,0.176,0.7777777777777777,0.6199999999999999,False,False,False,False,True,False,False,False,False,True,False,False,B,Bagus! Tapi coba tingkatkan dengan latihan tambahan di topik lemah 📘
